<?xml version="1.0" encoding="UTF-8"?>
<VOTABLE version="1.4" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance"
  xmlns="http://www.ivoa.net/xml/VOTable/v1.2" >
 <DESCRIPTION>
   VizieR Astronomical Server vizier.cds.unistra.fr
    Date: 2025-12-01T01:43:18 [V7.5.3]
   In case of problem, please report to:	cds-question@unistra.fr
 </DESCRIPTION>
<!-- VOTable description at http://www.ivoa.net/Documents/latest/VOT.html -->
<INFO name="service_protocol" value="ASU">  IVOID of the protocol through which the data was retrieved</INFO>
<INFO name="request_date" value="2025-12-01T01:43:18">  Query execution date</INFO>
<INFO name="request" value="https://vizier.cds.unistra.fr/viz-bin/votable/-tsv?-oc.form=sexa&amp;-out.max=unlimited&amp;-out.add=_RAJ,_DEJ&amp;-c.eq=J2000&amp;-c.r=  2&amp;-c.u=arcmin&amp;-c.geom=r&amp;-source=VII/9/catalog&amp;-order=I&amp;-out=ID&amp;">  Full request URL (POST)</INFO>
<INFO name="contact" value="cds-question@unistra.fr">  Email or URL to contact publisher</INFO>
<INFO name="server_software" value="7.5.3">  Software version</INFO>
<INFO name="publisher" value="CDS">  Data centre that produced the VOTable</INFO>

<!--
Execution Reports
 -->

<RESOURCE ID="yCat_7009" name="VII/9" type="results">
  <DESCRIPTION>Lynds' Catalogue of Bright Nebulae (Lynds 1965)</DESCRIPTION>  <INFO name="ivoid" value="ivo://cds.vizier/vii/9">    IVOID of underlying data collection  </INFO>
  <INFO name="creator" value="Lynds B.T.">    First author or institution  </INFO>
  <INFO name="cites" value="bibcode:1965ApJS...12..163L">    Article or Data origin sources  </INFO>
  <INFO name="editor" value="Astrophysical Journal Supplement (AAS)">    Editor name (article)  </INFO>
  <INFO name="original_date" value="1965">    Year of the article publication  </INFO>
  <INFO name="reference_url" value="https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/9">    Dataset landing page  </INFO>
  <INFO name="publication_date" value="2013-02-26">    Date of first publication in the data centre  </INFO>
  <INFO name="rights_uri" value="https://cds.unistra.fr/vizier-org/licences_vizier.html">    Licence URI  </INFO>

  <COOSYS ID="B1950" system="eq_FK4" equinox="B1950"/>
  <COOSYS ID="J2000" system="eq_FK5" equinox="J2000"/>
  <TABLE ID="VII_9_catalog" name="VII/9/catalog">
    <DESCRIPTION>The LBN Catalogue</DESCRIPTION>
    <!-- RowName: ${Seq} -->
    <!-- Definitions of GROUPs and FIELDs -->
<!--The precision of the computed positions has been increased compared to the original positions-->
    <FIELD name="_RAJ2000" ucd="pos.eq.ra" ref="J2000" datatype="char" arraysize="10" unit="deg" xtype="hms"><!-- ucd="POS_EQ_RA" -->
      <DESCRIPTION>Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)</DESCRIPTION>
    </FIELD>
    <FIELD name="_DEJ2000" ucd="pos.eq.dec" ref="J2000" datatype="char" arraysize="9" unit="deg" xtype="dms"><!-- ucd="POS_EQ_DEC" -->
      <DESCRIPTION>Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)</DESCRIPTION>
    </FIELD>
    <FIELD name="ID" ucd="meta.id" datatype="short" width="3"><!-- ucd="ID_NUMBER" -->
      <DESCRIPTION>Identification number (4)</DESCRIPTION>
      <LINK href="http://vizier.cds.unistra.fr/viz-bin/VizieR-5?-info=XML&amp;-out.add=.&amp;-source=VII/9/catalog&amp;recno=${recno}"/>
    </FIELD>
    <FIELD name="recno" ucd="meta.record" datatype="int" width="8" type="hidden"><!-- ucd="RECORD" -->
      <DESCRIPTION>Record number assigned by the VizieR team. Should Not be used for identification.</DESCRIPTION>
      <LINK href="http://vizier.cds.unistra.fr/viz-bin/VizieR-5?-info=XML&amp;-out.add=.&amp;-source=VII/9/catalog&amp;recno=${recno}"/>
    </FIELD>
<DATA><CSV headlines="3" colsep=";"><![CDATA[
_RAJ2000;_DEJ2000;ID;recno
"h:m:s";"d:m:s"; ;
----------;---------;---;--------
17 45 10.5;-28 51 12;  0;       1
17 48 11.0;-29 10 59;  0;       2
17 47 10.4;-28 46 03;  0;       3
17 51 10.7;-28 55 46;  0;       4
16 40 53.6;-17 35 45;104;       5
16 36 52.3;-16 36 02;  0;       6
16 33 51.2;-15 46 14;  0;       7
15 50 39.6;-05 59 01;  0;       8
17 46 06.6;-26 11 08;  0;       9
15 53 38.4;-04 41 50;  0;      10
15 50 37.7;-04 03 01; 87;      11
16 30 46.6;-11 46 26; 89;      12
16 12 42.1;-08 02 38;  0;      13
17 55 04.7;-24 50 28;  0;      14
15 51 37.4;-03 44 57; 87;      15
16 32 46.1;-11 16 18; 89;      16
16 10 41.1;-07 05 45;  0;      17
15 50 36.6;-02 54 01; 87;      18
15 50 36.5;-02 49 01; 87;      19
16 26 44.1;-09 36 42; 89;      20
16 28 44.1;-09 36 34; 89;      21
16 28 44.0;-09 31 34; 89;      22
15 48 35.6;-01 57 08; 87;      23
16 32 44.7;-10 06 18; 89;      24
18 04 04.0;-24 19 49;105;      25
18 05 04.0;-24 19 45;105;      26
18 02 02.1;-22 59 58;  0;      27
18 10 03.5;-23 59 23;106;      28
18 10 03.5;-23 59 23;106;      29
16 24 41.7;-07 26 50; 89;      30
18 08 02.8;-23 26 31;  0;      31
16 32 43.1;-08 36 18; 89;      32
18 11 03.2;-23 44 18;106;      33
18 09 02.7;-23 26 27;  0;      34
16 35 43.6;-09 01 06; 89;      35
16 00 35.4;-01 38 24; 82;      36
16 00 35.4;-01 38 24; 82;      37
18 08 00.8;-21 59 32;  0;      38
16 36 42.3;-07 51 02; 89;      39
18 09 00.1;-21 29 27;  0;      40
20 03 09.0;-31 21 33;  0;      41
18 15 58.5;-20 18 57;101;      42
18 16 57.7;-19 43 52;102;      43
16 06 33.3;+00 21 59; 83;      44
16 06 33.3;+00 21 59; 83;      45
18 16 57.6;-19 38 52;102;      46
18 16 57.4;-19 28 52;  0;      47
18 08 55.7;-18 09 27;  0;      48
18 11 55.1;-17 44 14;101;      49
18 06 54.2;-16 59 36;  0;      50
18 15 55.4;-17 58 57;101;      51
18 19 55.4;-17 58 39;101;      52
18 10 53.8;-16 39 19;  0;      53
20 03 04.3;-27 51 33;  0;      54
18 15 53.7;-16 38 57;103;      55
18 15 53.7;-16 38 57;103;      56
18 17 52.9;-15 58 48;103;      57
18 05 50.6;-14 09 41;  0;      58
18 16 52.3;-15 28 53;  0;      59
18 20 52.9;-15 58 35;103;      60
18 12 51.0;-14 29 10;  0;      61
18 20 51.4;-14 48 35;  0;      62
